15:11:03 From  Jon Pye (OTN)  to  Everyone : https://mybinder.org/v2/gh/otn-workshops/obis-workshop-fr/HEAD?filepath=Quiz/notebooks/Data%20Formats%20Quiz.ipynb
15:12:49 From  claudenozeres  to  Everyone : Question liée avec ce que Virginie demandé—est-il des procédures pour valider les noms en données? Je vois dans ton exemple ‘Gammaridae’. C’était ça en verbatim ou autre chose?...
15:49:30 From  Jon Pye (OTN)  to  Everyone : 3 fichiers pour la premier, event core, occ extension, emof extension.  puis on ajoute un meta.xml pour les mappages et un eml.xml pour le metadata du niveau project.
16:01:00 From  naomi tress  to  Everyone : sondage de reaction: https://forms.gle/QZ4ctTYLETgfU9xP8
16:01:12 From  Sandra V  to  Jon Pye (OTN)(Direct Message) : Pourrais tu me nommer les packages à installer pour verifier si on a tout?
16:01:51 From  Jon Pye (OTN)  to  Sandra V(Direct Message) : certainement, il y a une liste ici: https://github.com/otn-workshops/obis-workshop-fr/blob/master/fichiers_Rmarkdown/installez_packages.Rmd
16:03:07 From  Isabelle  to  Everyone : Est-ce qu'on peut avoir les présentations de la journée svp?
16:03:15 From  Jon Pye (OTN)  to  Everyone : Oui! ils sont ici:
16:03:22 From  Jon Pye (OTN)  to  Everyone : https://github.com/otn-workshops/obis-workshop-fr
16:03:28 From  Jon Pye (OTN)  to  Everyone : 01, 02, et 03
16:04:56 From  naomi tress  to  Everyone : je prefer la zip, et toute la code r pour demain et la aussi
16:06:53 From  Benjamin Grégoire  to  Everyone : Merci!
16:06:56 From  Valérie Cypihot  to  Everyone : Merci! À demain!!
16:07:02 From  Caroline Vanier  to  Everyone : Merci et à demain!
16:07:06 From  LEVESQUEI  to  Everyone : Merci!
16:07:12 From  ThorneMa  to  Everyone : Merci
16:07:13 From  Laurie Isabel (MPO Sciences)  to  Everyone : merci, à demain!
16:09:10 From  naomi tress  to  Everyone : je retourne
16:11:13 From  Jon Pye (OTN)  to  Everyone : install.packages('ropensci/finch') c'est l'autre?
16:19:55 From  Jon Pye (OTN)  to  Everyone : https://cran.r-project.org/bin/windows/Rtools/
16:30:35 From  Jon Pye (OTN)  to  Everyone : https://github.com/ocean-tracking-network/obis-workshop/blob/master/rmd-files/2_data_qc.Rmd
17:02:20 From  Jon Pye (OTN)  to  Everyone : "You can override which version of R is used via General panel of the RStudio Options dialog"
17:05:30 From  Jon Pye (OTN)  to  Everyone : https://rstudio.github.io/packrat/
